Designator,Mid X,Mid Y,Rotation,Layer
C1,122.0,-67.4,270.0,top
C10,131.8,-56.17,270.0,top
C11,133.4,-56.17,270.0,top
C2,120.77,-52.2,0.0,top
C3,116.8,-61.6,90.0,top
C4,129.6,-65.6,0.0,top
C5,117.6,-53.83,90.0,top
R1,123.2158,-50.0,0.0,top
R12,116.4,-56.5842,90.0,top
U6,124.35,-59.6,270.0,top
