Designator,Mid X,Mid Y,Rotation,Layer
J1,275.3,-56.9,180.0,bottom
J2,270.8,-91.3,0.0,bottom
J3,307.7,-59.7,180.0,bottom
LED1,-3.5375,-60.85,0.0,bottom
LED10,167.9125,-60.85,0.0,bottom
LED11,186.9625,-60.85,0.0,bottom
LED12,206.0125,-60.85,0.0,bottom
LED13,225.0625,-60.85,0.0,bottom
LED14,253.6375,-60.85,0.0,bottom
LED15,1.225,-79.85,0.0,bottom
LED16,25.0375,-79.85,0.0,bottom
LED17,44.0875,-79.85,0.0,bottom
LED18,63.1375,-79.85,0.0,bottom
LED19,82.1875,-79.85,0.0,bottom
LED2,15.5125,-60.85,0.0,bottom
LED20,101.2375,-79.85,0.0,bottom
LED21,120.2875,-79.85,0.0,bottom
LED22,139.3375,-79.85,0.0,bottom
LED23,158.3875,-79.85,0.0,bottom
LED24,177.4375,-79.85,0.0,bottom
LED25,196.4875,-79.9,0.0,bottom
LED26,215.5375,-79.85,0.0,bottom
LED27,234.5875,-79.9,0.0,bottom
LED28,258.4,-79.85,0.0,bottom
LED3,34.5625,-60.85,0.0,bottom
LED30,3.60625,-98.85,0.0,bottom
LED31,29.8,-98.85,0.0,bottom
LED32,48.85,-98.85,0.0,bottom
LED33,67.9,-98.85,0.0,bottom
LED34,86.95,-98.85,0.0,bottom
LED35,106.0,-98.85,0.0,bottom
LED36,125.05,-98.85,0.0,bottom
LED37,144.1,-98.85,0.0,bottom
LED38,163.15,-98.85,0.0,bottom
LED39,182.2,-98.85,0.0,bottom
LED4,53.6125,-60.85,0.0,bottom
LED40,201.25,-98.85,0.0,bottom
LED41,220.3,-98.85,0.0,bottom
LED42,251.25625,-98.85,0.0,bottom
LED43,289.1875,-98.8,0.0,bottom
LED44,8.36875,-117.85,0.0,bottom
LED45,39.325,-118.1,0.0,bottom
LED46,58.375,-118.1,0.0,bottom
LED47,77.425,-118.05,0.0,bottom
LED48,96.4625,-118.05,0.0,bottom
LED49,115.525,-118.05,0.0,bottom
LED5,72.6625,-60.85,0.0,bottom
LED50,134.5625,-118.05,0.0,bottom
LED51,153.625,-118.05,0.0,bottom
LED52,172.675,-118.05,0.0,bottom
LED53,191.725,-118.05,0.0,bottom
LED54,210.775,-118.05,0.0,bottom
LED55,236.96875,-118.05,0.0,bottom
LED56,263.1625,-118.05,0.0,bottom
LED57,289.2125,-117.9875,0.0,bottom
LED58,-1.15625,-137.05,0.0,bottom
LED59,22.6625,-137.05,0.0,bottom
LED6,91.7125,-60.85,0.0,bottom
LED60,46.4625,-137.05,0.0,bottom
LED61,117.8625,-137.05,0.0,bottom
LED62,189.34375,-137.05,0.0,bottom
LED63,213.15625,-137.05,0.0,bottom
LED64,244.0625,-137.05,0.0,bottom
LED65,263.1625,-137.05,0.0,bottom
LED66,282.2125,-137.05,0.0,bottom
LED67,308.2375,-98.8,0.0,bottom
LED68,308.2625,-117.9875,0.0,bottom
LED7,110.7625,-60.85,0.0,bottom
LED8,129.8125,-60.85,0.0,bottom
LED9,148.8625,-60.85,0.0,bottom
R1,165.3842,-131.3,180.0,bottom
R10,284.2,-68.9,90.0,bottom
R11,153.8158,-139.95,0.0,bottom
R12,99.6625,-134.85,180.0,bottom
R15,271.4,-69.7842,270.0,bottom
R16,272.7,-70.9,270.0,bottom
R17,274.1,-70.9,270.0,bottom
R3,286.1842,-64.7,0.0,bottom
R5,153.8158,-138.65,180.0,bottom
R6,-20.5375,-84.05,180.0,top
R7,-16.5842,-84.1,0.0,top
R8,-9.5842,-79.4,180.0,top
R9,286.1842,-67.1,0.0,bottom
