Designator,Footprint,Quantity,Value,LCSC Part #
"3.3V, EN, GND1, GPIO0, RX, TX",TestPoint_THTPad_D2.0mm_Drill1.0mm,6,TestPoint,
C8,CAPC1005X55N,1,10uF,C49678
C9,CAPC1005X55N,1,100nF,C49678
"R1, R2",RESC1005X40N,2,10k,
U4,XCVR_ESP32-S3-MINI-1-N8,1,ESP32-S3-MINI-1,
